Product_id,Product_name,Product_condition,Product_price,Product_stock,Product_image,Category_id,Category_name,Seller_id
PRODUCT_1147,Novel Preloved,Like new,20,1,https://media.karousell.com/media/photos/products/2024/6/30/novel_preloved_1719774234_2ad7c97d_progressive_thumbnail.jpg,1,Books,SELLER_1
PRODUCT_1148,preloved english novels,Heavily used,17,1,https://media.karousell.com/media/photos/products/2024/6/30/preloved_english_novels_1719766090_87688ee1_progressive_thumbnail.jpg,1,Books,SELLER_2
PRODUCT_1149,ENGLISH PRELOVED NOVEL,Well used,3,1,https://media.karousell.com/media/photos/products/2024/6/30/english_preloved_novel_1719765529_3b980957_progressive_thumbnail.jpg,1,Books,SELLER_3
PRODUCT_1150,Preloved novel baru,Like new,35,1,https://media.karousell.com/media/photos/products/2024/6/30/preloved_novel_baru_1719757522_6d400476_progressive_thumbnail.jpg,1,Books,SELLER_4
PRODUCT_1151,Drarax2 light novel vol 2 yenpress original,Like new,25,1,https://media.karousell.com/media/photos/products/2024/6/30/drarax2_light_novel_vol_2_yenp_1719763295_9d9e8d17_progressive_thumbnail.jpg,1,Books,SELLER_5
PRODUCT_1152,Novel Melayu,Lightly used,3,1,https://media.karousell.com/media/photos/products/2024/6/30/novel_melayu_1719722358_7ef6c846_progressive_thumbnail.jpg,1,Books,SELLER_6
PRODUCT_1153,Novel Jebat Preloved,Lightly used,10,1,https://media.karousell.com/media/photos/products/2024/6/30/novel_jebat_preloved_1719758741_a0a2ec44_progressive_thumbnail.jpg,1,Books,SELLER_7
PRODUCT_1154,Preloved Novel,Like new,30,1,https://media.karousell.com/media/photos/products/2024/6/30/preloved_novel_1719712515_b0714b1d_progressive_thumbnail.jpg,1,Books,SELLER_8
PRODUCT_1155,Novel,Lightly used,15,1,https://media.karousell.com/media/photos/products/2024/6/30/novel_1719753914_d7363fb7_progressive_thumbnail.jpg,1,Books,SELLER_9
PRODUCT_1156,Novel Sungguh! Aku Gilakan Kau,Like new,20,1,https://media.karousell.com/media/photos/products/2024/6/29/novel_sungguh_aku_gilakan_kau_1719650775_c3e499a1_progressive_thumbnail.jpg,1,Books,SELLER_10
PRODUCT_1157,Classroom Of The Elite Year 2 (vol 1 - 4) Light Novel,Like new,200,1,https://media.karousell.com/media/photos/products/2024/6/30/classroom_of_the_elite_year_2__1719737525_e5b7c33b_progressive_thumbnail.jpg,1,Books,SELLER_1
PRODUCT_1158,NOVEL HLOVATE (Preloved- good condition),Lightly used,50,1,https://media.karousell.com/media/photos/products/2024/6/29/novel_hlovate_preloved_good_co_1719670484_dcc4c65f_progressive_thumbnail.jpg,1,Books,SELLER_2
PRODUCT_1159,Novel Preloved,Lightly used,3,1,https://media.karousell.com/media/photos/products/2024/6/29/novel_preloved_1719669504_e396e785_progressive_thumbnail.jpg,1,Books,SELLER_3
PRODUCT_1160,Novel melayu,Lightly used,5,1,https://media.karousell.com/media/photos/products/2024/6/29/novel_melayu_1719621368_040cbd22_progressive_thumbnail.jpg,1,Books,SELLER_4
PRODUCT_1161,Novel preloved,Like new,10,1,https://media.karousell.com/media/photos/products/2024/6/28/novel_preloved_1719613827_f80f9e2b_progressive_thumbnail.jpg,1,Books,SELLER_5
PRODUCT_1162,Preloved Novel Anastasia,Lightly used,45,1,https://media.karousell.com/media/photos/products/2024/6/30/preloved_novel_anastasia_1719744790_9c9cd54b_progressive_thumbnail.jpg,1,Books,SELLER_6
PRODUCT_1163,WTS GIRL IN PIECES ENGLISH NOVEL,Well used,10,1,https://media.karousell.com/media/photos/products/2024/6/30/wts_the_love_hypothesis_englis_1719713944_c0d931c5_progressive_thumbnail.jpg,1,Books,SELLER_7
PRODUCT_1164,Prelove Novel,Lightly used,10,1,https://media.karousell.com/media/photos/products/2024/6/30/prelove_novel_1719715398_94cc50e4_progressive_thumbnail.jpg,1,Books,SELLER_8
PRODUCT_1165,Novel Amerika - Ridhwan Saidi,Well used,15,1,https://media.karousell.com/media/photos/products/2024/4/30/novel_amerika__ridhwan_saidi_1714450727_0d13ece6_progressive_thumbnail.jpg,1,Books,SELLER_9
PRODUCT_1166,Novel Melayu,Lightly used,12,1,https://media.karousell.com/media/photos/products/2024/6/28/novel_melayu_1719584424_b23f5ef0_progressive_thumbnail.jpg,1,Books,SELLER_10
PRODUCT_1167,Novel Lecturer Sebelah Rumah (Cik Mardiah),Lightly used,60,1,https://media.karousell.com/media/photos/products/2024/6/30/novel_lecturer_sebelah_rumah_c_1719712006_dd5e8bde_progressive_thumbnail.jpg,1,Books,SELLER_1
PRODUCT_1168,Novel Arena Wati,Like new,40,1,https://media.karousell.com/media/photos/products/2024/4/29/novel_arena_wati_1714371497_8363e34d_progressive_thumbnail.jpg,1,Books,SELLER_2
PRODUCT_1169,Novel prelove terkini,Like new,15,1,https://media.karousell.com/media/photos/products/2024/4/30/novel_prelove_terkini_1714462236_5595759d_progressive_thumbnail.jpg,1,Books,SELLER_3
PRODUCT_1170,"ALL 5 For Only RM 35 !!! Star Wars ""Jedi Prince"" Series Novels --- Paul & Hollace Davids",Lightly used,35,1,https://media.karousell.com/media/photos/products/2024/6/29/all_5_for_only_rm_35__star_war_1719672294_8dba8d70_progressive_thumbnail,1,Books,SELLER_4
PRODUCT_1171,Jennifer Lynn Barnes Killer Instinct English Novel Thriller Young Adult Mystery Fiction,Brand new,30,1,https://media.karousell.com/media/photos/products/2024/6/29/jennifer_lynn_barnes_killer_in_1719682782_4ae56e88_progressive_thumbnail.jpg,1,Books,SELLER_5
PRODUCT_1172,Jennifer Lynn Barnes Killer Instinct English Novel Thriller Young Adult Mystery Fiction,Brand new,30,1,https://media.karousell.com/media/photos/products/2024/6/29/jennifer_lynn_barnes_killer_in_1719682782_4ae56e88_progressive_thumbnail.jpg,1,Books,SELLER_6
PRODUCT_1173,Novel Melayu,Lightly used,18,1,https://media.karousell.com/media/photos/products/2024/6/29/novel_melayu_1719620453_7f495d66_progressive_thumbnail,1,Books,SELLER_7
PRODUCT_1174,PRELOVED NOVEL (harga dekat description!),Well used,10,1,https://media.karousell.com/media/photos/products/2024/6/29/preloved_novel_harga_dekat_des_1719672695_843799e3_progressive_thumbnail.jpg,1,Books,SELLER_8
PRODUCT_1175,Novels,Well used,25,1,https://media.karousell.com/media/photos/products/2024/6/29/novels_1719637115_baba17e9_progressive_thumbnail.jpg,1,Books,SELLER_9
PRODUCT_1176,WTS novel !,Well used,20,1,https://media.karousell.com/media/photos/products/2024/6/30/wts_novel__1719727234_ab530edb_progressive_thumbnail,1,Books,SELLER_10
PRODUCT_1177,Novel Rose's Anjell (NEW) WTS,Brand new,90,1,https://media.karousell.com/media/photos/products/2024/6/30/novel_roses_anjell_new_wts_1719719907_5258eecf_progressive_thumbnail.jpg,1,Books,SELLER_1
PRODUCT_1178,NOVEL PRELOVED,Lightly used,15,1,https://media.karousell.com/media/photos/products/2024/6/28/novel_preloved_1719575341_b6a89330_progressive_thumbnail.jpg,1,Books,SELLER_2
PRODUCT_1179,PRELOVED NOVEL MELAYU,Like new,8,1,https://media.karousell.com/media/photos/products/2024/6/29/preloved_novel_melayu_1719670019_e3fdcdc6_progressive_thumbnail.jpg,1,Books,SELLER_3
PRODUCT_1180,Novel Preloved,Like new,2,1,https://media.karousell.com/media/photos/products/2024/6/29/novel_preloved_1719656639_fb9062ab_progressive_thumbnail.jpg,1,Books,SELLER_4
